"pid","index","RT","length","content","eval","meaningful","engagement"
"133",3,65.88,102,"['one', 'the node', 'a multiple direction node', 'didnt look at nodes', 'look at nodes', '2-3', 'multi-direction nodes', 'more nodes', '",2,TRUE,1
"133",6,65.16,61,"', '5', 'end nodes\n', 'end nodes', 'LESS RISKY ', 'end nodes', '3-4', 'end nodes', 'end nodes', '",4,TRUE,1
"133",9,46.02,92,"', '4', 'end nodes', 'end nodes spaced out', 'picking highest end node', 'end nodes 4 clicks', '4', 'end', 'highest end node', '",5,TRUE,1
"133",12,37.12,63,"', '4-5', 'end nodes', 'end nodes far apart', 'luck', 'end nodes', '4', 'end nodes', 'end nodes', '",3,TRUE,1
"133",15,42.78,87,"', 'too many', 'end nodes', 'click until there was a high end nodes', 'luck', 'end nodes', '6', 'end nodes', 'end nodes', '",1,TRUE,1
"133",18,36.79,86,"', '1-2', 'end nodes', 'stop when there was a high one', 'used less clicks', 'end nodes', '3', 'end nodes', 'end nodes', '",4,TRUE,1
"134",3,385.42,629,"[""The more money I gained the more clicks I could make, I didn't keep a record. On the 3rd game I clicked on all the end nodes."", 'Nodes at the end of a trail.', 'Yes, I decided to find the highest number to finish on, therefore anything I might have lost on the way could be made up.  ', 'I found the highest number at the end of the trail, keeping the $1 clicks low but finding at least one high number on my trail.', 'After you have made some money, click on the end nodes to find the highest reward number.', '8 to 10', 'End nodes.', 'Clicking on end nodes to reveal the highest reward number to head to and find best path without using to many $1 clicks.', '",4,TRUE,2
"134",6,133.46,337,"', '18', 'End nodes', 'Clicking on end nodes to discover the highest reward number.', 'There are only 5 moves, if i find the highest number at the end it should offset any losses I make and therefore make my reward higher.', 'Clicking on end nodes to discover the highest reward number.', '18', 'End nodes', 'Clicking on end nodes to discover the highest reward number.', '",4,TRUE,2
"134",9,190.5,318,"', '18', 'End nodes', 'Clicking on end nodes to discover the highest reward number.', ""In the last round the numbers weren't high so I made more losses.  Therefore I didn't do as well as in previous rounds."", 'Click on end nodes to discover the highest reward number.', '18', 'End nodes', 'Clicking on end nodes to discover the highest reward number.', '",3,TRUE,2
"134",12,100.12,273,"', '18', 'End nodes', 'Clicking on end nodes to discover the highest reward number.', 'The reward numbers in the end nodes were quite high so it averaged out ok.', 'Click on end nodes to discover the highest reward number.', '18', 'End nodes', 'Clicking on end nodes to discover the highest reward number.', '",4,TRUE,1
"134",15,152.23,390,"', '18', 'End nodes', 'Clicking on end nodes to discover the highest reward number.', 'From going through the other rounds the end nodes seem to be the highest number. I had one round where I lost 15 on my route and that made for a lower average but mostly my strategy works ok.', 'Click on end nodes to discover the highest reward number.', '18', 'End nodes', 'Clicking on end nodes to discover the highest reward number.', '",4,TRUE,2
"134",18,118.06,274,"', '18', 'End nodes', 'Clicking on end nodes to discover the highest reward number.', 'By clicking on the end nodes finding the highest number negates any losses.', 'Click on end nodes to discover the highest reward number.', '18', 'End nodes', 'Clicking on end nodes to discover the highest reward number.', '",4,TRUE,1
"135",3,161.07,247,"['3', 'on a node', 'Complete guesswork', 'Because I was guessing rather using any sort of strategy', ""Make sure you completely understand what happens when you move the spider, don't just click randomly."", ""I don't know yet"", 'I might go to the top', ""I'll probably guess again"", '",3,TRUE,2
"135",6,198.01,332,"', '3-4', 'On a couple of sides to see which ones were green', ""I decided to click on the farthest node to see of there was good bonus and hope there wasn't too many minuses on the way."", ""I'm still not using a well thought out strategy"", 'Think a little more about which nodes you are going to click on', 'Probably less than before', 'the bottom', 'same as before', '",3,TRUE,2
"135",9,194.32,349,"', '1', 'On the last node in a particular direction I was going', 'I just decided to go to each corner and see what happened.', ""Because I wasn't clicking as much and paying a dollar each time.Plus I had a couple of lucky clicks."", ""Don't waste dollars on too many clicks"", '1', 'Same as before - farthest node I plan to go to.', 'Same as before, mixture of strategy and guesswork.', '",4,TRUE,2
"135",12,159.43,315,"', '1', 'Farhest node I was planning on going to', 'No', ""I'm guessing more than anything else. if one area was more losses, then I'd pick the opposite side on the next round"", ""It's impossible to have a strategy - just go for it."", '1 or maybe none', ""I'm going to stick to the same corner for each round."", 'Using the same corner for each round.', '",3,TRUE,2
"135",15,113.41,187,"', 'none', ""I didn't click, I thought I take my chances"", ""I didn't click this time"", ""Because I didn't click"", 'Always click at least once', '1 maybe 2', 'A different corner each time', 'I might try the middle to click', '",1,TRUE,1
"135",18,83.44,96,"', '1', 'in the middle for a change', 'no', 'I have no idea', 'Just take your chances', '1', 'far corners', 'A guessing strategy', '",2,TRUE,1
"136",3,228.77,378,"['I clicked until I found a high scoring node', 'On the final nodes on the outside of the web', 'Other than using outside nodes, no.', 'I clicked too many nodes hoping to find higher ones', ""I can't as the structure changes each time.  "", 'Hopefully fewer', 'I will start with the same theory but the high ranking nodes may be more central', ""Start as before and if it doesn't work, try the inner nodes first"", '",3,TRUE,2
"136",6,260.35,448,"', 'Too many.  Thought I was moving the spider but was revealing number.', 'Random', 'Random', ""The chances were probably stacked against me.  The game change each time. I don't recall any mention of the value being the same for both sets of games"", 'In the real world, I would cash out when you can', 'Fewer', 'Still trying outside first as that is where the higher value nodes appear to be based', 'Outside first and when I find a high rated one. I will start to move the spider', '",2,TRUE,2
"136",9,207.43,358,"', 'There seemed to be more high value negative nodes so it took a bit longer than before', 'Random', 'Same formula as before, hit the outside ones looking for high values\n', 'The game was getting harder to earn points', 'Look for high value nodes on the outside', 'As few as possible', 'Again I will try the outside', 'Random clicks on outside to find high value nodes then move the spider', '",3,TRUE,2
"136",12,339.66,557,"', 'No exact number just headed for high ranking number on outside when I found it.  ', 'Random on the outside', 'No particular strategy. Find a high rated node on outside and then move towards  it. Thinking of changing stategy for next round as there was reasonably high valued node at a crossroads', 'Not sure if the high value nodes are still on outside', 'Be prepared to change your way of playing', 'As few as possible but targeting different areas', 'The nodes with crossroads first then the outside', 'Find high value nodes at the cross roads and then high value node attached to it', '",3,TRUE,2
"136",15,245.31,449,"', 'More.  All the nodes at crossroads had low values and many on the outsides had very high negative numbers', 'Tried ""crossroads"" nodes first followed by those on the outside.  As a strategy it did not work', 'Find high value at crossroads then a high value on outside', 'The ""crossroad"" nodes were not high value', 'Find a high value node on outside and move towards it', 'Much less', 'Back to outside first strategy', 'Find high value nodes on the outside and move towards them', '",2,TRUE,2
"136",18,243.56,338,"', 'Tried to find a high value node on the outside.  There were many more negative ones so it took longer', 'The outside node first. Picked randomly', 'Random', 'I did not land on any high value negative nodes', 'Look for a high rated node on the outside', 'Probably about the same', 'Outside until I find a high value node', 'Find a high value node and move towards it.', '",3,TRUE,2
"137",3,103.85,149,"['3', 'On the end of a row', 'check on the end of a row', 'Once I realised what I was doing it seemed OK', 'Click on at least 3', '3', 'at the end of a row', 'the same as the last', '",3,TRUE,1
"137",6,81.17,184,"', '3', 'the mode at the end of a row', 'check different row ends', 'I checked before moving in a particular direction', 'check at least 3 row end modes before moving', '3', 'at row ends', 'random chopice of row ends', '",4,TRUE,1
"137",9,104.08,221,"', 'up to 9', 'at ends of rows', 'try and find a decent + green amount', 'I avoided the large - red amounts', 'if you are in credit, use up to 10 clicks to check amounts', 'up to a maximum of 10', 'on the modes at the end of rows', 'click on end of rows', '",3,TRUE,1
"137",12,110.36,200,"', 'from 3 to 6', 'on modes at row ends', 'choose row end modes', 'I found some decent + green scores', 'check between 3 to 10 modes before moving if you are in credit', 'between 3 to 10', 'on row ends', 'choose end of rows randomly', '",3,TRUE,1
"137",15,94.97,257,"', 'between 3 to 7', 'at end of rows', 'choose end of row modes randomly', 'I uncoverfed some reasonable + green amounts and avoided the -red amounts', 'check between 3 to 10 modes before deciding which way to move', 'between 3 to 10', 'on modes at end of rows', 'choose the modes randomly', '",4,TRUE,1
"137",18,172.61,244,"', 'between 2 to 10', 'at end of rows', 'random', 'I found some decent +green amounts', 'check at least 3 to 10 mode amounts until you find a decent amount unless you find a decent amount before that', 'between 3 to 10', 'at the end of rows', 'select end of row modes randomly', '",4,TRUE,2
"138",3,269.29,319,"['1', 'on the node', 'if it was a zero I thought this was less risk than going on a unknown node that could lose you money.', 'A loss of zero is better than minus numbers', 'If the clue reveals 0 it is better to go on there rather than risking it. ', '4', ""On the nodes that don't show a loss"", 'After the first click I will choose any random node. ', '",3,TRUE,2
"138",6,192.56,399,"', '1 click', 'I clicked on any node to see if it would lose me money', 'After the first click I went on any node nut tried to get to the end quickly so I have less chance of losing more money.', 'The less steps you get to the end the less chance of losing more money ', 'Get to the last node in the quickest way possible to have less chance of losing money. ', '4', 'Any random place. ', 'The quickest route to get me to the end. ', '",3,TRUE,2
"138",9,148.03,205,"', '1', 'I checked the quickest route', 'It seems like they were all the same amount  steps to the end. ', 'It is just by chance that I lost more money', 'Just go on any random node', '7', 'any random place', 'Just click any random place', '",2,TRUE,2
"138",12,175.25,113,"', '1', 'anywhere', 'no', 'it is just by chance', 'it is just a game of chance', '6', 'anywhere', 'i will use my clue first then work around that', '",3,TRUE,2
"138",15,266.54,184,"', '1', 'first of all i checked which one would lose me money', 'i went different routes on each round', 'Dont know', 'it is a game of chance', '6', 'anywhere but different routes on each round', 'click any direction', '",3,TRUE,2
"138",18,143.72,137,"', '1', 'used the clue first and then went on different route on each round', 'same as last time', 'it is a game of chance', 'go anywhere', '6', 'anywhere', 'go anywhere', '",2,TRUE,1
"139",3,163.62,380,"['4', 'The ones at the end to see if they had a large or small ending. ', 'I chose to use the click to see if there was a high one at the end of each route. I thought if it was high it was worth the risk of passing a negative one.', 'I am in a positive amount.', 'Use the node checker at the start several times.', '4 each round?', 'The end of each route again.', 'The same as before, at the end of each route.', '",3,TRUE,2
"139",6,97.44,328,"', '4/5 but more on the first round as it took me a while to find a decent total.', 'At the end of each route', 'Clicked on the end of each route until I found an amount that I thought was worth the risk.', 'I have increased my average.', 'Click on several end route nodes at the start.', '5/6', 'The same as before -  at the end of the route', 'same as before', '",3,TRUE,2
"139",9,128.68,366,"', '5/6', 'The end route', 'Same as before - the end route. ', 'I still gained points. ', 'Click the end route node only as it appears that a high number above 35 usually means you wont lose out overall.', '6/7', ""The same as before at the end route nodes. I can't think of an easier plan that would work."", 'Same as before - try a few nodes at the end of the routes until reaching a higher amount.', '",3,TRUE,2
"139",12,130.11,326,"', 'Too many 10?', ""I tried clicking on every end route but think it probably wasn't as wise"", ""I clicked on every end route node to see if I'd find a really high amount but I didn't\n"", 'I still managed to gain $', 'Try 5/6 end route nodes and pick the route with the highest.', '6/7', 'End node routes.', 'The same as before. 6/7 clicks on end route nodes. ', '",3,TRUE,2
"139",15,61.49,183,"', '4/5', 'Clicked on several end of route nodes\n', 'The same as before.', 'I still gained $ overall.', 'Click on a few end of route nodes and select the highest.', '6/7', 'The same as before.', 'The same as before.', '",3,TRUE,1
"139",18,61.18,146,"', '7/8\n', 'End route nodes', 'End of route nodes', 'Gained $ overall', 'Click on end route nodes seems to be most effective.', '7/8', 'The same as before.', 'The same as before.', '",3,TRUE,1
"140",3,123.25,121,"['2', 'the node infront', 'i just tried a different route each time', 'luck', 'mix up the routes you take', '4', 'towards the end', 'the same as before', '",4,TRUE,1
"140",6,66.57,76,"', '0', 'no where', 'no', 'i lost money', 'try to click on the nodes', '3', 'the end', 'the same as round 1 ', '",1,TRUE,1
"140",9,150.73,172,"', 'around 3 ', 'the end nodes ', 'click until there is a high positive number', 'im making the most i can out of the clicks', 'click the nodes to check', '4', 'the end nodes', 'the same as the last round', '",5,TRUE,2
"140",12,154.47,182,"', '4-5', 'the ends', 'click in one corner to find the highest value', 'i made a lower average but it was still a positive outcome ', 'stick to one corner', '4-5', 'the same as previous rounds', 'the same as before', '",4,TRUE,2
"140",15,87.25,102,"', '5-6', 'the ends', 'click the ends', 'i made a better profit than my average', 'click the ends', 'the same', 'the same', 'the same ', '",4,TRUE,1
"140",18,82.51,138,"', 'around 10?', 'the end notes', 'click until  i find a positive value', 'the end notes where mainly negative numbers', 'click the end notes', '5', 'the same', 'the same', '",2,TRUE,1
"141",3,229.09,155,"['one', 'the first node', 'No', ""I didn't want to pay for each step but I did ok."", ""I don't think I can give any advice."", 'only 1', 'Only the first node', ""I won't have any strategies"", '",3,TRUE,2
"141",6,185.88,78,"', '1', 'I clicked the first node', 'no', 'I rushed', ""don't rush"", '1', 'first node left', 'click to the left', '",1,TRUE,2
"141",9,134.79,208,"', '1', 'first node', ""I keep using the first node to determine where I'm going."", 'I only choose the first node!', 'click on the last node', '2', 'first and last nodes', 'first and last nodes to determine if I should take that path or not.', '",1,TRUE,1
"141",12,200.19,265,"', '2 per round', ""I decided to choose 'end' nodes"", 'I chose end nodes to see if it was worth it', ""I'm losing $1 per click, if I decide to do 2 clicks i pay $2"", ""don't rush and select a pathway you want to do."", 'I want to try and avoid 2, and stay with only 1', 'end and middle', ""i'm not sure"", '",2,TRUE,2
"141",15,335.4,218,"', '2', 'middle and end nodes', 'I thought I could look closer to the end of the paths', ""I'm not being consistent"", 'I have no tips!', 'I want to try and stick to 1, maximum 2 clicks', 'Middle paths', 'I want to avoid ending in the middle of the web', '",2,TRUE,2
"141",18,498.55,146,"', '2', 'middle and end nodes', 'tried to determine paths', ""I rushed and can't predict where I will lose money"", ""don't trying to guess"", '2 or 3', ""I don't know"", ""I'm not sure"", '",2,TRUE,2
"142",3,123.26,184,"[""I'm not sure. "", ""I didn't I went pot luck"", 'No', ""It's random choice of destination. "", 'None just do what you think is best. ', ""I don't know yet. "", 'I try to avoid clicking. ', ""I'm going with gut instinct. "", '",2,TRUE,1
"142",6,192.75,342,"', 'Two or three', 'End nodes. ', ""Yes I'm now aware that the end nodes seem to hold the greatest reward. "", 'A little better familiarity with the fact the round ends when an end node is reached. ', 'Plan a route to your selected end node.', ""Not sure yet I'll have a look at my bonus then decide. "", 'End notes. ', 'Target end nodes and then the branch that leads to them. ', '",3,TRUE,2
"142",9,139.24,233,"', '9-10 ', 'End nodes', 'Ascertain the end node value. ', ""It worked out that way because I'm trying to minimize clicking. "", 'As before ascertain end node values chose the one with the biggest value. ', '9-10 ', 'End nodes. ', 'Pick a path to the greatest value. ', '",3,TRUE,1
"142",12,157.5,288,"', 'About 21 I think ', 'End nodes. ', 'Yes keep clicking end nodes until a acceptable value is found then move to that. ', ""It's just basic understanding of how the game is played.  "", 'As before keep on uncovering end nodes. ', 'As many as it takes to reveal a good bonus. ', 'End nodes. ', 'Just revealing end nodes. ', '",3,TRUE,2
"142",15,89.24,151,"', '21', 'end nodes. ', 'reveal end nodes', 'It worked out that way because I decided to try to obtain the largest value. ', 'Reveal end nodes', '21', 'end nodes', 'reveal end nodes. ', '",3,TRUE,1
"142",18,151.98,359,"', 'It actually 18 not 21', 'End nodes, the round ends on an end node therefore establish the greatest value', 'Reveal end nodes go to the one with the greatest value', 'I misread one of the values and went to the wrong end nodes when another end node was a value of something like +93', 'Look at the values carefully. ', '18 ', 'end nodes. ', 'Move to the end node with the greatest value. ', '",2,TRUE,2
"143",3,271.92,527,"['in the second i made arouns 6 clicks to determine which side was best to go to ', 'I clicked on either side of the roads where the decision was made ', 'Yes i looked at the possible dierctions and when one direction had a choice i clicked on the two choices', 'i should have possible tried other strategies to see if they were more useful ', 'Click more than one box each time ', 'around the same amount \n', 'I plan to click each box that is a choice to make for a direction ', 'Click each of the possible outcomes to test which direction should be taken ', '",3,TRUE,2
"143",6,268.54,336,"', 'i made 6 clicks ', 'i clicked one ach possible decision ', 'yes each possible choice was clicked to deterimne which direction should be taken ', 'Because it is sitll a game of chance ', 'Pick more nodes if you have more money ', '6-8', 'everywhere there was a possible choice ', 'the higher the money the more nodes clicked and only where decision shave to be made', '",3,TRUE,2
"143",9,160.21,496,"', 'around 8-10', 'everywhere there was a decision and around the highest amount ', 'Yes as i had moremoney this round i clicked more around the choices i could make ', 'I think im only know finding a good strategy to have ', 'Click more nodes than you think is necessary ', '8-10', 'everywhere there is a decision to be made and around that decision with the highest amount ', 'im going to click where there is a possible decision and when i find which has the most ill click the decisions around that to determine where to go ', '",3,TRUE,2
"143",12,114.64,575,"', '8-10', 'whereever there was a decision to be made i clicked ', 'wherever there was a decision to be made i clicked and once determing which direction had the most points i clicked the possibel directions around that ', 'I am making the most points i have out of previous rounds ', 'wherever there was a decision click aroun that and use as many clicks as possible as you end up with more in the long run', '8-10', 'wherever there was a decision to be made i will click around it ', 'wherever there was a decision to be made i will click around it and as soon as i have more coins i may click more nodes ', '",4,TRUE,2
"143",15,174.14,541,"', '12', 'wherever there was a decision to be made i clicked that particular box ', 'wherever there was a decision to be made i clicked around those nodes and then clicked around every possibel direction to determine the most points to be made ', 'becuase my points are increasing every round ', 'click more boxes that you think necessary as this leads to the highest amount of points in the long run ', '14', 'wherever there was a decision to be made i will click that node and nodes around it   ', 'i will click more boxes to ensure i am getting the most poitns possible ', '",4,TRUE,2
"143",18,195,371,"', '10', 'i clicked the node and all other nodes around it where decisions had to be made ', 'i clicked all nodes where a decision had to be made', 'i made a few mistakes on the first round which brought down the average score ', 'use as many nodes as possible ', '8-10', 'i plan to click on every node where a decision needs to be made ', 'im going to click on every node where a decision must be made ', '",3,TRUE,2
"144",3,129.63,78,"['5', 'arrow', 'no', 'i was doing my best', 'just to follw your intuition', '5', 'i am not sure', 'intuition', '",3,TRUE,1
"144",6,121.72,65,"', '6', 'on spider', 'no', 'it was poor result', 'i am not sure', '6', 'i will see', 'no strategy', '",2,TRUE,1
"144",9,83.69,65,"', '5', 'arrow', 'no', 'i did not loose', 'just do your best', '5', 'i am not sure', 'no strategy', '",3,TRUE,1
"144",12,82.12,53,"', '5', 'on arrow', 'no', 'i lost points', 'do your best', '6', 'not sure', 'not sure', '",1,TRUE,1
"144",15,105.48,75,"', '5', 'on grey ball', 'no', 'i did not earn enough', 'to check grey ball', '5', 'grey ball', 'no strategy', '",2,TRUE,1
"144",18,75.4,75,"', '5', 'grey ball', 'no', 'not enough points', 'to check grey ball', '5', 'grey ball', 'to check grey ball', '",2,TRUE,1
"145",3,108.48,152,"['0', ""i didn't click i just played the game"", 'none just luck', 'because it is just down to luck', 'maybe check a few 1st', '0', ""i don't"", ""i'm just going to leave it to luck still"", '",2,TRUE,1
"145",6,158.93,167,"', '1 each round', 'at the end of a thread', 'no just picked a thread', 'i could see the final cost', 'pick the end of a thread to see how much it is worth', '1 or 2', 'at the end of a thread', 'luck', '",4,TRUE,2
"145",9,135.29,162,"', 'usually 1 or 2 ', 'at the end of a thread', 'none', 'being able to see if it is positive or negative cost', 'check to see if its a good score', '1 maybe 2', 'at the end of the thread', 'luck', '",4,TRUE,1
"145",12,81.56,162,"', 'it varied between 1 and lots', 'at the end of a pathway', 'none', 'being able to see the scores', 'find out if the end is good or bad amounts', 'hopefully 1', 'at the end of a thread', 'luck', '",4,TRUE,1
"145",15,73.51,140,"', 'about 3 - 5', 'at the end of a pathway', 'none', 'i clicked on a few negative scores', 'click and find out if its a positive score', 'hopefully 1', 'same places', 'luck', '",3,TRUE,1
"145",18,67.49,123,"', 'about 4', 'at the end of the path', 'none', 'because i got minus figures', 'click a few to see the best pathway', '3', 'at the end of a pathway', 'luck', '",3,TRUE,1
"146",3,100.04,122,"['6', 'on the grey circles ', 'no ', 'because im not using the cursor to benefit myself ', 'use the helper ', '6', 'on the grey circles ', 'think ahead ', '",2,TRUE,1
"146",6,144.87,120,"', '10 ', 'on the grey circles ', 'no', 'i couldve done better ', 'to check before you move ', '10', 'on the last grey circles ', 'to try and do better ', '",3,TRUE,2
"146",9,126.75,222,"', '6', 'on the last grey circle ', 'click on the last grey circle and then aim a path for that circle', 'thought about it before hand ', 'check the last grey circle rather than looking for a pathway', '6', 'the last circle', 'the same as the last round ', '",4,TRUE,1
"146",12,120.02,184,"', '4', 'the last grey circles', 'look for the largest number then aim for it', 'because i thought about it ', 'to look for the end result rather than guessing it ', '4', 'on the last grey circles ', 'same as before ', '",4,TRUE,1
"146",15,106.69,191,"', '8', 'the last grey circle', 'look for the highest amount ', 'because i looked for the end result rather than ho to get there ', 'check the last one rather than guessing it ', '8', 'on the last circle ', 'same as before ', '",4,TRUE,1
"146",18,92.33,137,"', '9', 'on the end circles ', 'to look for the largest amount ', 'i couldve chosen better ', 'try to reduce your guesses down', '8', 'same as before ', 'same as before ', '",3,TRUE,1
"147",3,69.05,47,"['3', 'left', 'no', 'trial and error', 'do the best you can', '50', 'up', 'up', '",3,TRUE,1
"147",6,50.25,49,"', '2', 'let', 'no', 'i dont know', 'try your best', 'i dont know', 'down', 'down', '",1,TRUE,1
"147",9,51.02,73,"', 'dont know', 'right', 'no', 'i dont know', 'try your best', 'i dont know', 'im not sure', 'i dont know', '",1,TRUE,1
"147",12,43.66,73,"', 'dont know', 'dont know', 'no', 'dont know', 'try your best', 'i dont know', 'dont know\n', 'try better', '",2,TRUE,1
"147",15,43.78,69,"', 'i dont know', 'dont know', 'no', 'dont know', 'try your best', 'more', 'try my best', 'try harder', '",2,TRUE,1
"147",18,75.08,72,"', 'dont know', 'left', 'no', 'i dont know', 'try your best', 'i dont know', 'i dont know', 'i dont know', '",2,TRUE,1
"148",3,64.04,165,"['0', 'i didnt', 'I tried to not use the clicks, backfired', 'didnt click a node', 'actually click a node', 'at least 1 per round', 'towards the end of the run', 'to work out a good number to hit', '",1,TRUE,1
"148",6,70.71,159,"', '3', 'mid routes and end points', 'to work out a route', 'still not hitting big numbers', 'be careful where clicking', '3 or 4', 'similar to last 3', 'to work out where the big numbers are', '",2,TRUE,1
"148",9,60.01,193,"', '4', 'mid point and end', 'looking for high number then plan route', 'little bit more refined, prepare to risk to lose more to gain', 'dont be stingy with the node clicks', '4 or 5', 'midpoint and end', 'same as last round', '",4,TRUE,1
"148",12,54.95,212,"', '5 or 6', 'mid point of each route and ends', 'yes, aim for mid point then aim for biggest target', 'took some work but my plan has been refined', 'be clever with node clicking, take time', '5 or 6', 'same as last round', 'same as last round', '",5,TRUE,1
"148",15,51.82,165,"', '5 or 6', 'mid point and end points', 'pick circles you will definitely use if going that direction', 'smarter thinking', 'use node choice wisely', '6 or 7', 'same as last round', 'same strategy', '",5,TRUE,1
"148",18,48.51,181,"', '8 or 9', 'end pieces to get best target', 'use end pieces to see highest number', 'just being prepared to use more clicks', 'use clicks on end pieces for highest number', 'same', 'same as last', 'same strategy', '",5,TRUE,1
"149",3,454.13,1033,"[""I'm not sure I can remember the exact amount. I clicked once in the first game, maybe four times in the second game, and at least 6 in the third game."", 'I clicked on the node I was interested in, which tended to be a central node in each wing of the web.', 'I tried to click on a central node in each area to try and decide which direction to go in.', ""Because even though I revealed several nodes and headed towards a node that I knew to have a positive value, there were many negative numbers surrounded these nodes that I didn't know the location of. So, even though I knew the value of one node, I was mostly working blind."", 'The negative value of some nodes is so great that it may be worth revealing more nodes than you think, despite the cost, so that you have better information to avoid the big losses.', 'At least 10  to 15', 'I am planning to choose one area and reveal all the nearby nodes, rather than revealing less nodes but in more areas.', ""I am going to choose one area and reveal all the surrounding nodes so that I'm not moving in blindly."", '",1,TRUE,2
"149",6,289.37,716,"', 'approximately seven to fifteen', 'I chose an area and revealed the pathway to it and all the nodes inside it.', 'I just chose an area at random and revealed all the nodes in this area.', 'I think it worked out that way because I knew where the highest and lowest value nodes were so I had more information with which to make my plan.', 'Although the £1 cost is off putting, it is better to reveal more nodes and be able to plan your path with all the information, rather than save your money and head in blindly. ', 'approximately 15', 'I plan to choose an area and reveal all the surrounding nodes. I may try to reveal more than one area and see if that helps even more.', 'I plan to reveal a whole area (or two) and the whole path towards it.', '",4,TRUE,2
"149",9,261.96,744,"', 'I made 15 to 20 clicks, possible even 22 in one round.', ""I revealed one area and if the nodes didnt't look valuable enough, I revealed another whole area by clicking on all the nodes."", 'I just planned to reveal the whole section and the path to it to give me the full picture.', 'I think by revealing too many areas, I spent too much money, so any profit made was reduced by this a lot and made it not seem worth it.', 'Choose an area and reveal it all and the path towards it, so you can make the decision with all the information. Be wary of revealing more than one area.', '10 to 15', 'I plan to reveal one area only, and the path towards it.', 'I want to just choose one area. I think I might select a few nodes from each area to try and decide which area to reveal.', '",3,TRUE,2
"149",12,201.33,658,"', 'I made 10 to 15 clicks', 'I clicked a main node in each area, and based on the value of that, I chose which section to reveal fully.', 'I chose a main node in each area that I would have to pass through. I used this to decide whoch area might be more profitable and then revealed just that area.', 'It lead to me making a profit as I had the full picture to make the best choice but I still spent to much which had an impact on profit.', 'Try and reveal an area but limit your clicks to about 10 where possible.', '10', 'I plan to just choose and area and reveal it all, without preplanning by clicking one in all the areas.', 'Choose a small area and reveal all the nodes in that area.', '",3,TRUE,2
